State FIPS Code,County FIPS Code,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound
5,41,AR,Desha County,3032.00,2460.00,3604.00,27.60,22.40,32.80
5,43,AR,Drew County,2715.00,2025.00,3405.00,16.50,12.30,20.70
5,45,AR,Faulkner County,16486.00,14329.00,18643.00,13.60,11.80,15.40
5,47,AR,Franklin County,2908.00,2300.00,3516.00,17.20,13.60,20.80
5,49,AR,Fulton County,2157.00,1676.00,2638.00,18.00,14.00,22.00
5,51,AR,Garland County,14319.00,11877.00,16761.00,14.50,12.00,17.00
5,53,AR,Grant County,2017.00,1553.00,2481.00,11.20,8.60,13.80
5,55,AR,Greene County,5898.00,4638.00,7158.00,12.90,10.10,15.70
5,57,AR,Hempstead County,4125.00,3306.00,4944.00,21.20,17.00,25.40
5,59,AR,Hot Spring County,5521.00,4531.00,6511.00,17.80,14.60,21.00
5,61,AR,Howard County,2245.00,1783.00,2707.00,17.90,14.20,21.60
5,63,AR,Independence County,6924.00,6019.00,7829.00,18.90,16.40,21.40
5,65,AR,Izard County,2384.00,1860.00,2908.00,18.40,14.40,22.40
5,67,AR,Jackson County,3316.00,2541.00,4091.00,22.50,17.20,27.80
5,69,AR,Jefferson County,12258.00,9607.00,14909.00,20.30,15.90,24.70
5,71,AR,Johnson County,4570.00,3796.00,5344.00,18.10,15.00,21.20
5,73,AR,Lafayette County,1448.00,1150.00,1746.00,23.70,18.80,28.60
5,75,AR,Lawrence County,3193.00,2600.00,3786.00,20.40,16.60,24.20
5,77,AR,Lee County,2448.00,1841.00,3055.00,34.90,26.20,43.60
5,79,AR,Lincoln County,2160.00,1620.00,2700.00,22.60,16.90,28.30
5,81,AR,Little River County,1854.00,1397.00,2311.00,15.70,11.80,19.60
5,83,AR,Logan County,3204.00,2502.00,3906.00,15.40,12.00,18.80
5,85,AR,Lonoke County,8161.00,6654.00,9668.00,11.00,9.00,13.00
5,87,AR,Madison County,2587.00,2002.00,3172.00,15.40,11.90,18.90
5,89,AR,Marion County,2986.00,2405.00,3567.00,17.80,14.30,21.30
5,91,AR,Miller County,8483.00,7250.00,9716.00,20.40,17.40,23.40
5,93,AR,Mississippi County,9276.00,7637.00,10915.00,23.90,19.70,28.10
5,95,AR,Monroe County,1667.00,1274.00,2060.00,25.30,19.30,31.30
5,97,AR,Montgomery County,1692.00,1353.00,2031.00,19.90,15.90,23.90
5,99,AR,Nevada County,1705.00,1328.00,2082.00,21.20,16.50,25.90
5,101,AR,Newton County,1366.00,1040.00,1692.00,19.10,14.50,23.70
5,103,AR,Ouachita County,4437.00,3507.00,5367.00,20.20,16.00,24.40
5,105,AR,Perry County,1500.00,1168.00,1832.00,15.20,11.80,18.60
5,107,AR,Phillips County,5623.00,4611.00,6635.00,35.70,29.30,42.10
5,109,AR,Pike County,1844.00,1490.00,2198.00,18.60,15.00,22.20
5,111,AR,Poinsett County,4948.00,4129.00,5767.00,22.20,18.50,25.90
5,113,AR,Polk County,3697.00,2920.00,4474.00,19.30,15.20,23.40
5,115,AR,Pope County,10897.00,9249.00,12545.00,18.00,15.30,20.70
5,117,AR,Prairie County,1257.00,975.00,1539.00,15.70,12.20,19.20
5,119,AR,Pulaski County,68564.00,62090.00,75038.00,17.60,15.90,19.30
5,121,AR,Randolph County,3141.00,2476.00,3806.00,17.00,13.40,20.60
5,123,AR,St. Francis County,6108.00,4805.00,7411.00,32.20,25.30,39.10
5,125,AR,Saline County,10572.00,8508.00,12636.00,8.50,6.80,10.20
5,127,AR,Scott County,1681.00,1246.00,2116.00,17.30,12.80,21.80
5,129,AR,Searcy County,1633.00,1272.00,1994.00,20.90,16.30,25.50
5,131,AR,Sebastian County,24574.00,21967.00,27181.00,19.50,17.40,21.60
5,133,AR,Sevier County,2854.00,2234.00,3474.00,18.30,14.30,22.30
5,135,AR,Sharp County,3181.00,2454.00,3908.00,18.30,14.10,22.50
5,137,AR,Stone County,2567.00,2032.00,3102.00,20.80,16.50,25.10
5,139,AR,Union County,6726.00,5422.00,8030.00,17.80,14.40,21.20
5,141,AR,Van Buren County,2659.00,2080.00,3238.00,17.10,13.40,20.80
5,143,AR,Washington County,30035.00,25656.00,34414.00,12.40,10.60,14.20
5,145,AR,White County,12106.00,10235.00,13977.00,16.30,13.80,18.80
5,147,AR,Woodruff County,1514.00,1188.00,1840.00,25.20,19.80,30.60
5,149,AR,Yell County,2996.00,2315.00,3677.00,15.10,11.70,18.50
6,0,CA,California,4742405.00,4689999.00,4794811.00,12.30,12.20,12.40
6,1,CA,Alameda County,152654.00,140318.00,164990.00,9.40,8.60,10.20
6,3,CA,Alpine County,194.00,148.00,240.00,15.80,12.10,19.50
6,5,CA,Amador County,4104.00,3139.00,5069.00,11.10,8.50,13.70
6,7,CA,Butte County,33874.00,30026.00,37722.00,16.60,14.70,18.50
6,9,CA,Calaveras County,6198.00,5078.00,7318.00,13.50,11.10,15.90
6,11,CA,Colusa County,2466.00,1901.00,3031.00,11.40,8.80,14.00
6,13,CA,Contra Costa County,100948.00,92022.00,109874.00,8.80,8.00,9.60
6,15,CA,Del Norte County,5368.00,4316.00,6420.00,21.40,17.20,25.60
6,17,CA,El Dorado County,16839.00,14045.00,19633.00,8.80,7.30,10.30
6,19,CA,Fresno County,193449.00,179983.00,206915.00,19.40,18.00,20.80
6,21,CA,Glenn County,4397.00,3560.00,5234.00,15.50,12.60,18.40
6,23,CA,Humboldt County,25781.00,22760.00,28802.00,19.40,17.10,21.70
6,25,CA,Imperial County,29738.00,24540.00,34936.00,17.30,14.30,20.30
6,27,CA,Inyo County,2382.00,1903.00,2861.00,12.80,10.20,15.40
6,29,CA,Kern County,164169.00,149799.00,178539.00,18.50,16.90,20.10
6,31,CA,Kings County,24295.00,20420.00,28170.00,17.70,14.90,20.50
6,33,CA,Lake County,11196.00,8683.00,13709.00,16.50,12.80,20.20
6,35,CA,Lassen County,4805.00,3867.00,5743.00,18.80,15.10,22.50
6,37,CA,Los Angeles County,1365808.00,1324191.00,1407425.00,14.10,13.70,14.50
6,39,CA,Madera County,31044.00,27214.00,34874.00,20.40,17.90,22.90
6,41,CA,Marin County,19734.00,16455.00,23013.00,7.80,6.50,9.10
6,43,CA,Mariposa County,2387.00,1808.00,2966.00,14.10,10.70,17.50
6,45,CA,Mendocino County,14539.00,11887.00,17191.00,16.10,13.20,19.00
6,47,CA,Merced County,61359.00,55535.00,67183.00,21.90,19.80,24.00
6,49,CA,Modoc County,1688.00,1307.00,2069.00,19.90,15.40,24.40
6,51,CA,Mono County,1278.00,973.00,1583.00,9.80,7.50,12.10
6,53,CA,Monterey County,50725.00,43455.00,57995.00,12.10,10.40,13.80
6,55,CA,Napa County,11814.00,9909.00,13719.00,9.00,7.60,10.40
6,57,CA,Nevada County,12141.00,10287.00,13995.00,11.80,10.00,13.60
6,59,CA,Orange County,309402.00,290860.00,327944.00,9.90,9.30,10.50
6,61,CA,Placer County,26816.00,23108.00,30524.00,6.60,5.70,7.50
6,63,CA,Plumas County,2545.00,1946.00,3144.00,13.00,9.90,16.10
6,65,CA,Riverside County,282068.00,261203.00,302933.00,11.60,10.70,12.50
6,67,CA,Sacramento County,203413.00,188841.00,217985.00,13.00,12.10,13.90
6,69,CA,San Benito County,5899.00,4633.00,7165.00,8.90,7.00,10.80
6,71,CA,San Bernardino County,285474.00,263941.00,307007.00,13.20,12.20,14.20
6,73,CA,San Diego County,340522.00,320076.00,360968.00,10.70,10.10,11.30
6,75,CA,San Francisco County,90898.00,83583.00,98213.00,11.40,10.50,12.30
6,77,CA,San Joaquin County,95382.00,83774.00,106990.00,12.30,10.80,13.80
6,79,CA,San Luis Obispo County,35120.00,31122.00,39118.00,13.10,11.60,14.60
6,81,CA,San Mateo County,49900.00,43747.00,56053.00,6.80,6.00,7.60
6,83,CA,Santa Barbara County,65029.00,59277.00,70781.00,15.20,13.90,16.50
6,85,CA,Santa Clara County,128955.00,117767.00,140143.00,6.90,6.30,7.50
6,87,CA,Santa Cruz County,27132.00,22485.00,31779.00,10.60,8.80,12.40
6,89,CA,Shasta County,25141.00,21256.00,29026.00,14.00,11.80,16.20
6,91,CA,Sierra County,398.00,300.00,496.00,12.30,9.30,15.30
6,93,CA,Siskiyou County,7301.00,6005.00,8597.00,16.80,13.80,19.80
6,95,CA,Solano County,44037.00,37963.00,50111.00,10.00,8.60,11.40
6,97,CA,Sonoma County,43661.00,38372.00,48950.00,9.10,8.00,10.20
6,99,CA,Stanislaus County,76921.00,67090.00,86752.00,14.10,12.30,15.90
6,101,CA,Sutter County,15224.00,12930.00,17518.00,15.50,13.20,17.80
6,103,CA,Tehama County,10107.00,8151.00,12063.00,15.60,12.60,18.60
6,105,CA,Trinity County,3010.00,2307.00,3713.00,19.10,14.70,23.50
6,107,CA,Tulare County,88367.00,78219.00,98515.00,18.70,16.50,20.90
6,109,CA,Tuolumne County,6848.00,5388.00,8308.00,13.20,10.40,16.00
6,111,CA,Ventura County,73968.00,66079.00,81857.00,8.90,7.90,9.90
6,113,CA,Yolo County,30708.00,27369.00,34047.00,14.80,13.20,16.40
6,115,CA,Yuba County,12784.00,10305.00,15263.00,15.60,12.60,18.60
8,0,CO,Colorado,554126.00,540035.00,568217.00,9.70,9.50,9.90
8,1,CO,Adams County,51680.00,45391.00,57969.00,10.00,8.80,11.20
8,3,CO,Alamosa County,2887.00,2222.00,3552.00,18.30,14.10,22.50
8,5,CO,Arapahoe County,56744.00,51237.00,62251.00,8.70,7.90,9.50
8,7,CO,Archuleta County,1556.00,1202.00,1910.00,11.40,8.80,14.00
8,9,CO,Baca County,697.00,562.00,832.00,20.30,16.40,24.20
8,11,CO,Bent County,1284.00,1005.00,1563.00,30.00,23.50,36.50
8,13,CO,Boulder County,34103.00,30717.00,37489.00,10.70,9.60,11.80
8,14,CO,Broomfield County,3680.00,3018.00,4342.00,4.90,4.00,5.80
8,15,CO,Chaffee County,1952.00,1496.00,2408.00,10.40,8.00,12.80
8,17,CO,Cheyenne County,215.00,163.00,267.00,12.90,9.80,16.00
8,19,CO,Clear Creek County,712.00,533.00,891.00,7.60,5.70,9.50
8,21,CO,Conejos County,1268.00,947.00,1589.00,16.70,12.50,20.90
8,23,CO,Costilla County,835.00,639.00,1031.00,23.10,17.70,28.50
8,25,CO,Crowley County,1241.00,912.00,1570.00,37.80,27.80,47.80
8,27,CO,Custer County,519.00,388.00,650.00,10.50,7.80,13.20
8,29,CO,Delta County,4325.00,3401.00,5249.00,13.90,10.90,16.90
8,31,CO,Denver County,82086.00,74364.00,89808.00,11.70,10.60,12.80
8,33,CO,Dolores County,332.00,257.00,407.00,13.90,10.80,17.00
8,35,CO,Douglas County,10490.00,8507.00,12473.00,2.90,2.40,3.40
8,37,CO,Eagle County,3922.00,3068.00,4776.00,7.10,5.60,8.60
8,39,CO,Elbert County,1447.00,1109.00,1785.00,5.40,4.10,6.70
8,41,CO,El Paso County,68718.00,61434.00,76002.00,9.60,8.60,10.60
8,43,CO,Fremont County,6608.00,5174.00,8042.00,15.90,12.40,19.40
8,45,CO,Garfield County,5667.00,4555.00,6779.00,9.20,7.40,11.00
8,47,CO,Gilpin County,406.00,309.00,503.00,6.90,5.20,8.60
8,49,CO,Grand County,1135.00,864.00,1406.00,7.20,5.50,8.90
8,51,CO,Gunnison County,2016.00,1610.00,2422.00,12.30,9.80,14.80
8,53,CO,Hinsdale County,59.00,44.00,74.00,7.60,5.70,9.50
8,55,CO,Huerfano County,1261.00,956.00,1566.00,18.60,14.10,23.10
8,57,CO,Jackson County,201.00,157.00,245.00,14.80,11.50,18.10
8,59,CO,Jefferson County,41422.00,35873.00,46971.00,7.30,6.30,8.30
8,61,CO,Kiowa County,180.00,135.00,225.00,12.50,9.40,15.60
8,63,CO,Kit Carson County,832.00,640.00,1024.00,12.10,9.30,14.90
8,65,CO,Lake County,828.00,627.00,1029.00,11.30,8.50,14.10
8,67,CO,La Plata County,5521.00,4413.00,6629.00,10.10,8.10,12.10
8,69,CO,Larimer County,39476.00,35707.00,43245.00,11.20,10.10,12.30
8,71,CO,Las Animas County,2920.00,2346.00,3494.00,21.00,16.90,25.10
8,73,CO,Lincoln County,699.00,523.00,875.00,14.90,11.10,18.70
8,75,CO,Logan County,2982.00,2368.00,3596.00,16.40,13.00,19.80
8,77,CO,Mesa County,16238.00,13266.00,19210.00,10.60,8.70,12.50
8,79,CO,Mineral County,89.00,67.00,111.00,9.60,7.20,12.00
8,81,CO,Moffat County,1409.00,1090.00,1728.00,10.80,8.40,13.20
8,83,CO,Montezuma County,3957.00,3121.00,4793.00,15.20,12.00,18.40
8,85,CO,Montrose County,5370.00,4294.00,6446.00,12.50,10.00,15.00
8,87,CO,Morgan County,3524.00,2850.00,4198.00,12.40,10.00,14.80
8,89,CO,Otero County,3555.00,2760.00,4350.00,19.70,15.30,24.10
8,91,CO,Ouray County,323.00,241.00,405.00,6.40,4.80,8.00
8,93,CO,Park County,1280.00,956.00,1604.00,7.30,5.50,9.10
8,95,CO,Phillips County,529.00,414.00,644.00,11.90,9.30,14.50
8,97,CO,Pitkin County,1155.00,884.00,1426.00,6.70,5.10,8.30
8,99,CO,Prowers County,2251.00,1754.00,2748.00,19.20,15.00,23.40
8,101,CO,Pueblo County,26839.00,23426.00,30252.00,16.20,14.10,18.30
8,103,CO,Rio Blanco County,632.00,476.00,788.00,10.20,7.70,12.70
8,105,CO,Rio Grande County,1611.00,1221.00,2001.00,14.40,10.90,17.90
8,107,CO,Routt County,1484.00,1147.00,1821.00,6.00,4.60,7.40
8,109,CO,Saguache County,1392.00,1046.00,1738.00,21.60,16.20,27.00
8,111,CO,San Juan County,101.00,78.00,124.00,13.80,10.70,16.90
8,113,CO,San Miguel County,729.00,584.00,874.00,9.00,7.20,10.80
8,115,CO,Sedgwick County,328.00,254.00,402.00,14.20,11.00,17.40
8,117,CO,Summit County,2053.00,1525.00,2581.00,6.70,5.00,8.40
8,119,CO,Teller County,1968.00,1497.00,2439.00,7.90,6.00,9.80
8,121,CO,Washington County,544.00,407.00,681.00,11.60,8.70,14.50
8,123,CO,Weld County,32543.00,28179.00,36907.00,9.80,8.50,11.10
8,125,CO,Yuma County,1315.00,1030.00,1600.00,13.50,10.60,16.40
9,0,CT,Connecticut,355861.00,344138.00,367584.00,10.10,9.80,10.40
9,1,CT,Fairfield County,85452.00,77033.00,93871.00,9.10,8.20,10.00
9,3,CT,Hartford County,92542.00,83824.00,101260.00,10.60,9.60,11.60
9,5,CT,Litchfield County,15713.00,13296.00,18130.00,8.60,7.30,9.90
9,7,CT,Middlesex County,10537.00,8370.00,12704.00,6.60,5.20,8.00
9,9,CT,New Haven County,100433.00,91625.00,109241.00,12.00,10.90,13.10
9,11,CT,New London County,23102.00,19792.00,26412.00,8.90,7.60,10.20
9,13,CT,Tolland County,15039.00,13239.00,16839.00,11.10,9.80,12.40
9,15,CT,Windham County,13043.00,10835.00,15251.00,11.60,9.60,13.60
10,0,DE,Delaware,113026.00,107766.00,118286.00,11.50,11.00,12.00
10,1,DE,Kent County,21961.00,18734.00,25188.00,12.20,10.40,14.00
10,3,DE,New Castle County,63059.00,57850.00,68268.00,11.40,10.50,12.30
10,5,DE,Sussex County,28006.00,24681.00,31331.00,11.50,10.10,12.90
11,0,DC,District of Columbia,107307.00,101426.00,113188.00,16.80,15.90,17.70
11,1,DC,District of Columbia,107307.00,101426.00,113188.00,16.80,15.90,17.70
12,0,FL,Florida,2830813.00,2790138.00,2871488.00,13.20,13.00,13.40
12,1,FL,Alachua County,50668.00,45708.00,55628.00,19.10,17.20,21.00
12,3,FL,Baker County,4187.00,3325.00,5049.00,16.10,12.80,19.40
12,5,FL,Bay County,24383.00,20974.00,27792.00,13.90,12.00,15.80
12,7,FL,Bradford County,4636.00,3698.00,5574.00,19.10,15.20,23.00
12,9,FL,Brevard County,68879.00,61023.00,76735.00,11.30,10.00,12.60
12,11,FL,Broward County,244519.00,226819.00,262219.00,12.80,11.90,13.70
12,13,FL,Calhoun County,2488.00,1915.00,3061.00,20.60,15.90,25.30
12,15,FL,Charlotte County,20910.00,17526.00,24294.00,10.90,9.10,12.70
12,17,FL,Citrus County,24173.00,20799.00,27547.00,15.50,13.30,17.70
12,19,FL,Clay County,17574.00,14160.00,20988.00,8.00,6.50,9.50
12,21,FL,Collier County,39843.00,33595.00,46091.00,10.40,8.80,12.00
