State FIPS Code,County FIPS Code,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,,,,,,,,,,,,,,,,,,
2,158,AK,Kusilvak Census Area,"2,534","2,006","3,062",30.4,24.1,36.7,,,,,,,,,,,,,,,,,,
2,164,AK,Lake and Peninsula Borough,290,221,359,20.6,15.7,25.5,,,,,,,,,,,,,,,,,,
2,170,AK,Matanuska-Susitna Borough,"11,453","9,900","13,006",10.5,9.1,11.9,,,,,,,,,,,,,,,,,,
2,180,AK,Nome Census Area,"1,920","1,524","2,316",19.8,15.7,23.9,,,,,,,,,,,,,,,,,,
2,185,AK,North Slope Borough,"1,354","1,010","1,698",12.4,9.2,15.6,,,,,,,,,,,,,,,,,,
2,188,AK,Northwest Arctic Borough,"1,560","1,219","1,901",20.9,16.3,25.5,,,,,,,,,,,,,,,,,,
2,195,AK,Petersburg Borough,269,205,333,8,6.1,9.9,,,,,,,,,,,,,,,,,,
2,198,AK,Prince of Wales-Hyder Census Area,859,642,"1,076",15,11.2,18.8,,,,,,,,,,,,,,,,,,
2,220,AK,Sitka Borough,717,552,882,8.6,6.6,10.6,,,,,,,,,,,,,,,,,,
2,230,AK,Skagway Municipality,69,52,86,6.1,4.6,7.6,,,,,,,,,,,,,,,,,,
2,240,AK,Southeast Fairbanks Census Area,890,678,"1,102",12.9,9.8,16,,,,,,,,,,,,,,,,,,
2,275,AK,Wrangell City and Borough,231,175,287,11.3,8.5,14.1,,,,,,,,,,,,,,,,,,
2,282,AK,Yakutat Borough,86,64,108,12.2,9.1,15.3,,,,,,,,,,,,,,,,,,
2,290,AK,Yukon-Koyukuk Census Area,"1,240",957,"1,523",23.7,18.3,29.1,,,,,,,,,,,,,,,,,,
4,0,AZ,Arizona,"919,680","900,349","939,011",12.9,12.6,13.2,,,,,,,,,,,,,,,,,,
4,1,AZ,Apache County,"18,422","16,244","20,600",28.4,25,31.8,,,,,,,,,,,,,,,,,,
4,3,AZ,Cochise County,"20,618","17,832","23,404",17.1,14.8,19.4,,,,,,,,,,,,,,,,,,
4,5,AZ,Coconino County,"22,677","19,669","25,685",16.9,14.7,19.1,,,,,,,,,,,,,,,,,,
4,7,AZ,Gila County,"8,900","7,003","10,797",16.8,13.2,20.4,,,,,,,,,,,,,,,,,,
4,9,AZ,Graham County,"7,385","6,118","8,652",20.4,16.9,23.9,,,,,,,,,,,,,,,,,,
4,11,AZ,Greenlee County,886,672,"1,100",9.5,7.2,11.8,,,,,,,,,,,,,,,,,,
4,12,AZ,La Paz County,"3,303","2,569","4,037",20.3,15.8,24.8,,,,,,,,,,,,,,,,,,
4,13,AZ,Maricopa County,"502,224","483,320","521,128",11.3,10.9,11.7,,,,,,,,,,,,,,,,,,
4,15,AZ,Mohave County,"38,383","34,152","42,614",18,16,20,,,,,,,,,,,,,,,,,,
4,17,AZ,Navajo County,"26,324","22,972","29,676",24.8,21.6,28,,,,,,,,,,,,,,,,,,
4,19,AZ,Pima County,"151,169","140,902","161,436",14.7,13.7,15.7,,,,,,,,,,,,,,,,,,
4,21,AZ,Pinal County,"45,630","39,199","52,061",10.7,9.2,12.2,,,,,,,,,,,,,,,,,,
4,23,AZ,Santa Cruz County,"9,723","8,029","11,417",20.4,16.9,23.9,,,,,,,,,,,,,,,,,,
4,25,AZ,Yavapai County,"29,766","25,619","33,913",12.5,10.8,14.2,,,,,,,,,,,,,,,,,,
4,27,AZ,Yuma County,"34,270","29,508","39,032",17.3,14.9,19.7,,,,,,,,,,,,,,,,,,
5,0,AR,Arkansas,"471,195","458,260","484,130",16,15.6,16.4,,,,,,,,,,,,,,,,,,
5,1,AR,Arkansas County,"2,923","2,249","3,597",17.7,13.6,21.8,,,,,,,,,,,,,,,,,,
5,3,AR,Ashley County,"3,950","3,232","4,668",21.3,17.4,25.2,,,,,,,,,,,,,,,,,,
5,5,AR,Baxter County,"5,565","4,603","6,527",13.4,11.1,15.7,,,,,,,,,,,,,,,,,,
5,7,AR,Benton County,"22,890","19,033","26,747",7.9,6.6,9.2,,,,,,,,,,,,,,,,,,
5,9,AR,Boone County,"4,860","3,726","5,994",13,10,16,,,,,,,,,,,,,,,,,,
5,11,AR,Bradley County,"2,011","1,530","2,492",19.6,14.9,24.3,,,,,,,,,,,,,,,,,,
5,13,AR,Calhoun County,672,508,836,14.6,11,18.2,,,,,,,,,,,,,,,,,,
5,15,AR,Carroll County,"4,717","3,827","5,607",16.8,13.6,20,,,,,,,,,,,,,,,,,,
5,17,AR,Chicot County,"2,594","2,046","3,142",27.9,22,33.8,,,,,,,,,,,,,,,,,,
5,19,AR,Clark County,"3,699","2,925","4,473",20,15.8,24.2,,,,,,,,,,,,,,,,,,
5,21,AR,Clay County,"2,543","1,981","3,105",17.9,13.9,21.9,,,,,,,,,,,,,,,,,,
5,23,AR,Cleburne County,"4,109","3,426","4,792",16.7,13.9,19.5,,,,,,,,,,,,,,,,,,
5,25,AR,Cleveland County,"1,054",798,"1,310",14.1,10.7,17.5,,,,,,,,,,,,,,,,,,
5,27,AR,Columbia County,"4,777","3,875","5,679",23.2,18.8,27.6,,,,,,,,,,,,,,,,,,
5,29,AR,Conway County,"3,494","2,803","4,185",16.9,13.5,20.3,,,,,,,,,,,,,,,,,,
5,31,AR,Craighead County,"19,674","17,080","22,268",18.2,15.8,20.6,,,,,,,,,,,,,,,,,,
5,33,AR,Crawford County,"8,790","7,067","10,513",14.7,11.8,17.6,,,,,,,,,,,,,,,,,,
5,35,AR,Crittenden County,"10,706","8,845","12,567",23,19,27,,,,,,,,,,,,,,,,,,
5,37,AR,Cross County,"2,738","2,093","3,383",16.7,12.8,20.6,,,,,,,,,,,,,,,,,,
5,39,AR,Dallas County,"1,213",923,"1,503",20.2,15.4,25,,,,,,,,,,,,,,,,,,
5,41,AR,Desha County,"3,032","2,460","3,604",27.6,22.4,32.8,,,,,,,,,,,,,,,,,,
5,43,AR,Drew County,"2,715","2,025","3,405",16.5,12.3,20.7,,,,,,,,,,,,,,,,,,
5,45,AR,Faulkner County,"16,486","14,329","18,643",13.6,11.8,15.4,,,,,,,,,,,,,,,,,,
5,47,AR,Franklin County,"2,908","2,300","3,516",17.2,13.6,20.8,,,,,,,,,,,,,,,,,,
5,49,AR,Fulton County,"2,157","1,676","2,638",18,14,22,,,,,,,,,,,,,,,,,,
5,51,AR,Garland County,"14,319","11,877","16,761",14.5,12,17,,,,,,,,,,,,,,,,,,
5,53,AR,Grant County,"2,017","1,553","2,481",11.2,8.6,13.8,,,,,,,,,,,,,,,,,,
5,55,AR,Greene County,"5,898","4,638","7,158",12.9,10.1,15.7,,,,,,,,,,,,,,,,,,
5,57,AR,Hempstead County,"4,125","3,306","4,944",21.2,17,25.4,,,,,,,,,,,,,,,,,,
5,59,AR,Hot Spring County,"5,521","4,531","6,511",17.8,14.6,21,,,,,,,,,,,,,,,,,,
5,61,AR,Howard County,"2,245","1,783","2,707",17.9,14.2,21.6,,,,,,,,,,,,,,,,,,
5,63,AR,Independence County,"6,924","6,019","7,829",18.9,16.4,21.4,,,,,,,,,,,,,,,,,,
5,65,AR,Izard County,"2,384","1,860","2,908",18.4,14.4,22.4,,,,,,,,,,,,,,,,,,
5,67,AR,Jackson County,"3,316","2,541","4,091",22.5,17.2,27.8,,,,,,,,,,,,,,,,,,
5,69,AR,Jefferson County,"12,258","9,607","14,909",20.3,15.9,24.7,,,,,,,,,,,,,,,,,,
5,71,AR,Johnson County,"4,570","3,796","5,344",18.1,15,21.2,,,,,,,,,,,,,,,,,,
5,73,AR,Lafayette County,"1,448","1,150","1,746",23.7,18.8,28.6,,,,,,,,,,,,,,,,,,
5,75,AR,Lawrence County,"3,193","2,600","3,786",20.4,16.6,24.2,,,,,,,,,,,,,,,,,,
5,77,AR,Lee County,"2,448","1,841","3,055",34.9,26.2,43.6,,,,,,,,,,,,,,,,,,
5,79,AR,Lincoln County,"2,160","1,620","2,700",22.6,16.9,28.3,,,,,,,,,,,,,,,,,,
5,81,AR,Little River County,"1,854","1,397","2,311",15.7,11.8,19.6,,,,,,,,,,,,,,,,,,
5,83,AR,Logan County,"3,204","2,502","3,906",15.4,12,18.8,,,,,,,,,,,,,,,,,,
5,85,AR,Lonoke County,"8,161","6,654","9,668",11,9,13,,,,,,,,,,,,,,,,,,
5,87,AR,Madison County,"2,587","2,002","3,172",15.4,11.9,18.9,,,,,,,,,,,,,,,,,,
5,89,AR,Marion County,"2,986","2,405","3,567",17.8,14.3,21.3,,,,,,,,,,,,,,,,,,
5,91,AR,Miller County,"8,483","7,250","9,716",20.4,17.4,23.4,,,,,,,,,,,,,,,,,,
5,93,AR,Mississippi County,"9,276","7,637","10,915",23.9,19.7,28.1,,,,,,,,,,,,,,,,,,
5,95,AR,Monroe County,"1,667","1,274","2,060",25.3,19.3,31.3,,,,,,,,,,,,,,,,,,
5,97,AR,Montgomery County,"1,692","1,353","2,031",19.9,15.9,23.9,,,,,,,,,,,,,,,,,,
5,99,AR,Nevada County,"1,705","1,328","2,082",21.2,16.5,25.9,,,,,,,,,,,,,,,,,,
5,101,AR,Newton County,"1,366","1,040","1,692",19.1,14.5,23.7,,,,,,,,,,,,,,,,,,
5,103,AR,Ouachita County,"4,437","3,507","5,367",20.2,16,24.4,,,,,,,,,,,,,,,,,,
5,105,AR,Perry County,"1,500","1,168","1,832",15.2,11.8,18.6,,,,,,,,,,,,,,,,,,
5,107,AR,Phillips County,"5,623","4,611","6,635",35.7,29.3,42.1,,,,,,,,,,,,,,,,,,
5,109,AR,Pike County,"1,844","1,490","2,198",18.6,15,22.2,,,,,,,,,,,,,,,,,,
5,111,AR,Poinsett County,"4,948","4,129","5,767",22.2,18.5,25.9,,,,,,,,,,,,,,,,,,
5,113,AR,Polk County,"3,697","2,920","4,474",19.3,15.2,23.4,,,,,,,,,,,,,,,,,,
5,115,AR,Pope County,"10,897","9,249","12,545",18,15.3,20.7,,,,,,,,,,,,,,,,,,
5,117,AR,Prairie County,"1,257",975,"1,539",15.7,12.2,19.2,,,,,,,,,,,,,,,,,,
5,119,AR,Pulaski County,"68,564","62,090","75,038",17.6,15.9,19.3,,,,,,,,,,,,,,,,,,
5,121,AR,Randolph County,"3,141","2,476","3,806",17,13.4,20.6,,,,,,,,,,,,,,,,,,
5,123,AR,St. Francis County,"6,108","4,805","7,411",32.2,25.3,39.1,,,,,,,,,,,,,,,,,,
5,125,AR,Saline County,"10,572","8,508","12,636",8.5,6.8,10.2,,,,,,,,,,,,,,,,,,
5,127,AR,Scott County,"1,681","1,246","2,116",17.3,12.8,21.8,,,,,,,,,,,,,,,,,,
5,129,AR,Searcy County,"1,633","1,272","1,994",20.9,16.3,25.5,,,,,,,,,,,,,,,,,,
5,131,AR,Sebastian County,"24,574","21,967","27,181",19.5,17.4,21.6,,,,,,,,,,,,,,,,,,
5,133,AR,Sevier County,"2,854","2,234","3,474",18.3,14.3,22.3,,,,,,,,,,,,,,,,,,
5,135,AR,Sharp County,"3,181","2,454","3,908",18.3,14.1,22.5,,,,,,,,,,,,,,,,,,
5,137,AR,Stone County,"2,567","2,032","3,102",20.8,16.5,25.1,,,,,,,,,,,,,,,,,,
5,139,AR,Union County,"6,726","5,422","8,030",17.8,14.4,21.2,,,,,,,,,,,,,,,,,,
5,141,AR,Van Buren County,"2,659","2,080","3,238",17.1,13.4,20.8,,,,,,,,,,,,,,,,,,
5,143,AR,Washington County,"30,035","25,656","34,414",12.4,10.6,14.2,,,,,,,,,,,,,,,,,,
5,145,AR,White County,"12,106","10,235","13,977",16.3,13.8,18.8,,,,,,,,,,,,,,,,,,
5,147,AR,Woodruff County,"1,514","1,188","1,840",25.2,19.8,30.6,,,,,,,,,,,,,,,,,,
5,149,AR,Yell County,"2,996","2,315","3,677",15.1,11.7,18.5,,,,,,,,,,,,,,,,,,
6,0,CA,California,"4,742,405","4,689,999","4,794,811",12.3,12.2,12.4,,,,,,,,,,,,,,,,,,
6,1,CA,Alameda County,"152,654","140,318","164,990",9.4,8.6,10.2,,,,,,,,,,,,,,,,,,
6,3,CA,Alpine County,194,148,240,15.8,12.1,19.5,,,,,,,,,,,,,,,,,,
6,5,CA,Amador County,"4,104","3,139","5,069",11.1,8.5,13.7,,,,,,,,,,,,,,,,,,
6,7,CA,Butte County,"33,874","30,026","37,722",16.6,14.7,18.5,,,,,,,,,,,,,,,,,,
6,9,CA,Calaveras County,"6,198","5,078","7,318",13.5,11.1,15.9,,,,,,,,,,,,,,,,,,
6,11,CA,Colusa County,"2,466","1,901","3,031",11.4,8.8,14,,,,,,,,,,,,,,,,,,
6,13,CA,Contra Costa County,"100,948","92,022","109,874",8.8,8,9.6,,,,,,,,,,,,,,,,,,
6,15,CA,Del Norte County,"5,368","4,316","6,420",21.4,17.2,25.6,,,,,,,,,,,,,,,,,,
6,17,CA,El Dorado County,"16,839","14,045","19,633",8.8,7.3,10.3,,,,,,,,,,,,,,,,,,
6,19,CA,Fresno County,"193,449","179,983","206,915",19.4,18,20.8,,,,,,,,,,,,,,,,,,
6,21,CA,Glenn County,"4,397","3,560","5,234",15.5,12.6,18.4,,,,,,,,,,,,,,,,,,
6,23,CA,Humboldt County,"25,781","22,760","28,802",19.4,17.1,21.7,,,,,,,,,,,,,,,,,,
6,25,CA,Imperial County,"29,738","24,540","34,936",17.3,14.3,20.3,,,,,,,,,,,,,,,,,,
6,27,CA,Inyo County,"2,382","1,903","2,861",12.8,10.2,15.4,,,,,,,,,,,,,,,,,,
6,29,CA,Kern County,"164,169","149,799","178,539",18.5,16.9,20.1,,,,,,,,,,,,,,,,,,
6,31,CA,Kings County,"24,295","20,420","28,170",17.7,14.9,20.5,,,,,,,,,,,,,,,,,,
6,33,CA,Lake County,"11,196","8,683","13,709",16.5,12.8,20.2,,,,,,,,,,,,,,,,,,
6,35,CA,Lassen County,"4,805","3,867","5,743",18.8,15.1,22.5,,,,,,,,,,,,,,,,,,
6,37,CA,Los Angeles County,"1,365,808","1,324,191","1,407,425",14.1,13.7,14.5,,,,,,,,,,,,,,,,,,
6,39,CA,Madera County,"31,044","27,214","34,874",20.4,17.9,22.9,,,,,,,,,,,,,,,,,,
6,41,CA,Marin County,"19,734","16,455","23,013",7.8,6.5,9.1,,,,,,,,,,,,,,,,,,
6,43,CA,Mariposa County,"2,387","1,808","2,966",14.1,10.7,17.5,,,,,,,,,,,,,,,,,,
6,45,CA,Mendocino County,"14,539","11,887","17,191",16.1,13.2,19,,,,,,,,,,,,,,,,,,
6,47,CA,Merced County,"61,359","55,535","67,183",21.9,19.8,24,,,,,,,,,,,,,,,,,,
6,49,CA,Modoc County,"1,688","1,307","2,069",19.9,15.4,24.4,,,,,,,,,,,,,,,,,,
6,51,CA,Mono County,"1,278",973,"1,583",9.8,7.5,12.1,,,,,,,,,,,,,,,,,,
6,53,CA,Monterey County,"50,725","43,455","57,995",12.1,10.4,13.8,,,,,,,,,,,,,,,,,,
6,55,CA,Napa County,"11,814","9,909","13,719",9,7.6,10.4,,,,,,,,,,,,,,,,,,
6,57,CA,Nevada County,"12,141","10,287","13,995",11.8,10,13.6,,,,,,,,,,,,,,,,,,
6,59,CA,Orange County,"309,402","290,860","327,944",9.9,9.3,10.5,,,,,,,,,,,,,,,,,,
6,61,CA,Placer County,"26,816","23,108","30,524",6.6,5.7,7.5,,,,,,,,,,,,,,,,,,
6,63,CA,Plumas County,"2,545","1,946","3,144",13,9.9,16.1,,,,,,,,,,,,,,,,,,
6,65,CA,Riverside County,"282,068","261,203","302,933",11.6,10.7,12.5,,,,,,,,,,,,,,,,,,
6,67,CA,Sacramento County,"203,413","188,841","217,985",13,12.1,13.9,,,,,,,,,,,,,,,,,,
6,69,CA,San Benito County,"5,899","4,633","7,165",8.9,7,10.8,,,,,,,,,,,,,,,,,,
6,71,CA,San Bernardino County,"285,474","263,941","307,007",13.2,12.2,14.2,,,,,,,,,,,,,,,,,,
6,73,CA,San Diego County,"340,522","320,076","360,968",10.7,10.1,11.3,,,,,,,,,,,,,,,,,,
6,75,CA,San Francisco County,"90,898","83,583","98,213",11.4,10.5,12.3,,,,,,,,,,,,,,,,,,
6,77,CA,San Joaquin County,"95,382","83,774","106,990",12.3,10.8,13.8,,,,,,,,,,,,,,,,,,
6,79,CA,San Luis Obispo County,"35,120","31,122","39,118",13.1,11.6,14.6,,,,,,,,,,,,,,,,,,
6,81,CA,San Mateo County,"49,900","43,747","56,053",6.8,6,7.6,,,,,,,,,,,,,,,,,,
6,83,CA,Santa Barbara County,"65,029","59,277","70,781",15.2,13.9,16.5,,,,,,,,,,,,,,,,,,
6,85,CA,Santa Clara County,"128,955","117,767","140,143",6.9,6.3,7.5,,,,,,,,,,,,,,,,,,
6,87,CA,Santa Cruz County,"27,132","22,485","31,779",10.6,8.8,12.4,,,,,,,,,,,,,,,,,,
6,89,CA,Shasta County,"25,141","21,256","29,026",14,11.8,16.2,,,,,,,,,,,,,,,,,,
6,91,CA,Sierra County,398,300,496,12.3,9.3,15.3,,,,,,,,,,,,,,,,,,
6,93,CA,Siskiyou County,"7,301","6,005","8,597",16.8,13.8,19.8,,,,,,,,,,,,,,,,,,
6,95,CA,Solano County,"44,037","37,963","50,111",10,8.6,11.4,,,,,,,,,,,,,,,,,,
6,97,CA,Sonoma County,"43,661","38,372","48,950",9.1,8,10.2,,,,,,,,,,,,,,,,,,
6,99,CA,Stanislaus County,"76,921","67,090","86,752",14.1,12.3,15.9,,,,,,,,,,,,,,,,,,
6,101,CA,Sutter County,"15,224","12,930","17,518",15.5,13.2,17.8,,,,,,,,,,,,,,,,,,
6,103,CA,Tehama County,"10,107","8,151","12,063",15.6,12.6,18.6,,,,,,,,,,,,,,,,,,
6,105,CA,Trinity County,"3,010","2,307","3,713",19.1,14.7,23.5,,,,,,,,,,,,,,,,,,
6,107,CA,Tulare County,"88,367","78,219","98,515",18.7,16.5,20.9,,,,,,,,,,,,,,,,,,
